id,penalty,l1_ratio,alpha,max_iter,random_state,n_jobs,n_samples,n_features,n_classes,n_clusters_per_class,n_informative,flip_y,scale,time
273,elasticnet,0.60709293,0.001,456,205,-1,792,1252,7,3,10,0.0194063,80.11558916,3.41549921
274,elasticnet,0.270763929,0.01,506,484,1,1038,384,6,5,8,0.005484922,84.65368241,9.347616434
275,l2,0.801637283,0.01,331,207,2,1040,837,9,5,8,0.083277004,35.7788668,1.906282663
276,elasticnet,0.341089528,0.0001,382,626,8,857,613,3,2,5,0.071196107,56.22173534,1.606556654
277,none,0.162170293,0.001,990,818,-1,223,281,9,4,10,0.059626819,7.087431443,0.205543041
278,l2,0.742130592,0.01,994,67,4,1221,867,3,2,8,0.068983875,75.51702702,1.4059484
279,none,0.542835404,0.001,857,400,2,720,877,8,2,7,0.094474142,92.59623776,2.706568718
280,elasticnet,0.37006429,0.0001,502,444,4,642,536,7,5,11,0.003050411,60.80768805,2.806747913
281,l2,0.793245748,0.01,161,165,1,724,1252,6,5,10,0.048997137,42.15536734,1.078270912
282,l2,0.888371034,0.0001,653,458,8,476,561,8,4,12,0.046593065,13.45746542,0.403407812
283,none,0.273856936,0.001,309,834,2,908,922,5,4,9,0.018996851,21.89716205,1.0041821
284,elasticnet,0.893769015,0.0001,995,351,8,1081,203,10,5,12,0.075197281,78.88620431,4.710926771
285,elasticnet,0.694750493,0.01,830,655,8,301,713,10,4,12,0.012632647,55.28381856,2.70764184
286,none,0.393781449,0.001,109,566,1,154,1315,9,5,9,0.002778154,48.30136383,0.246696949
287,l2,0.665763869,0.01,414,961,4,1394,770,9,4,10,0.058435628,30.43108099,1.806378603
288,l1,0.565157466,0.0001,812,952,4,708,1112,7,3,11,0.072265879,85.93360038,7.816357374
289,elasticnet,0.170434168,0.01,167,519,1,1389,625,6,3,9,0.011751209,51.69539445,6.375456095
290,l2,0.199108434,0.0001,357,297,8,902,949,7,5,10,0.058107368,11.09226593,0.604763031
291,elasticnet,0.498013933,0.0001,610,409,-1,1001,157,3,4,7,0.038333314,84.65016208,1.309899569
292,elasticnet,0.723494374,0.001,656,974,8,627,1157,6,2,8,0.060686228,55.17232211,3.710609198
293,l2,0.138157556,0.01,422,937,-1,553,599,9,2,9,0.006985513,67.47834153,0.309149265
294,l1,0.429745169,0.001,121,139,-1,940,1326,8,3,9,0.099476269,11.83940639,1.111268044
295,elasticnet,0.685424128,0.01,454,532,4,589,439,6,2,8,0.086532688,83.11068501,1.906095505
296,none,0.294462618,0.0001,341,716,-1,1078,347,3,4,6,0.01921954,91.86220088,0.309190512
297,l1,0.335969773,0.0001,757,197,-1,1372,796,2,3,7,0.071579655,89.39485357,4.497043848
298,elasticnet,0.673572848,0.0001,835,235,1,1143,759,3,3,9,0.060582344,78.35524853,15.09924126
299,none,0.376617027,0.0001,217,6,-1,641,1030,4,5,7,0.083380687,89.08955509,0.210282087
300,elasticnet,0.783731428,0.01,551,995,8,1279,1042,10,3,11,0.001405435,87.02821433,10.72367287
301,l1,0.892994019,0.01,711,396,1,680,230,5,5,9,0.002277423,9.767341017,3.339199543
302,l2,0.491635802,0.001,440,458,2,567,1110,7,3,8,0.081839165,33.32559246,1.405166388
303,elasticnet,0.815775895,0.01,201,319,2,1079,355,8,5,9,0.029462863,49.18840156,2.706287146
304,l2,0.134282577,0.001,750,813,1,754,1175,2,3,5,0.029415201,69.41289653,0.814182997
305,elasticnet,0.613016754,0.01,258,227,8,937,804,2,4,10,0.00366191,82.65143132,1.319390059
306,l1,0.281466715,0.0001,892,700,-1,738,1096,7,3,9,0.03622265,47.7389276,4.615325689
307,l2,0.877080931,0.0001,641,668,4,974,383,6,3,10,0.042383715,29.16431527,0.803846836
308,none,0.392578295,0.0001,344,386,4,553,451,9,4,9,0.003597341,13.68887959,0.402998209
309,elasticnet,0.239063064,0.001,842,277,8,1282,1168,4,5,9,0.040898893,16.47897145,9.021778107
310,none,0.393696254,0.001,683,171,-1,281,131,8,2,9,0.057549664,37.13461869,0.109110594
311,none,0.247142322,0.001,359,77,-1,704,984,6,5,8,0.001557712,96.63148771,0.40781188
312,l1,0.579850541,0.0001,681,334,2,374,206,3,2,7,0.027331495,15.38450537,0.702687025
313,l2,0.652432408,0.001,551,526,2,388,583,2,2,7,4.66E-05,13.13317376,0.157842636
314,none,0.134734519,0.001,672,484,1,406,257,5,3,10,0.02696018,74.95448318,0.480047226
315,l2,0.346099398,0.0001,160,662,4,408,1124,7,3,8,0.001384157,52.33695153,0.203747988
316,elasticnet,0.462585601,0.01,702,958,4,839,675,4,4,9,0.069997669,93.87227078,2.90717268
317,l1,0.847349997,0.01,751,121,4,1158,277,7,4,9,0.077979658,9.820737254,3.808417559
318,none,0.123373794,0.0001,240,861,-1,805,778,4,3,8,0.089699907,26.43608205,0.207129955
319,elasticnet,0.349062805,0.0001,252,201,1,660,1154,6,4,9,0.073082871,23.0080145,7.969527245
320,l1,0.54042361,0.0001,815,456,1,720,1296,7,4,7,0.020566394,5.291228077,29.96365619
321,l2,0.697877474,0.001,976,651,-1,426,612,9,3,7,0.062130149,72.59091625,0.509681702
322,l1,0.827720721,0.001,980,456,4,282,1382,7,5,10,0.024003017,13.70065944,4.509458303
323,l2,0.622948357,0.001,920,580,8,430,474,5,2,6,0.037872669,51.56433159,0.30401969
324,l1,0.228755026,0.0001,260,438,4,472,1179,2,3,7,0.053775719,43.34923581,0.803941965
325,l2,0.66502846,0.0001,105,791,8,259,256,3,5,9,0.05774605,20.1439508,0.103420258
326,elasticnet,0.6280542,0.001,440,100,-1,1253,1162,10,5,9,0.011787754,22.02807023,5.124667406
327,none,0.167939456,0.001,304,277,-1,1101,183,3,4,8,0.07795426,26.29085106,0.207325459
328,none,0.790417493,0.001,140,307,4,898,113,3,2,5,0.010081869,81.53665617,0.102447748
329,l2,0.278199676,0.0001,531,153,2,1061,155,2,3,6,0.002331292,18.10173502,0.171776772
330,l1,0.670523902,0.0001,184,805,4,237,597,7,3,11,0.070408485,63.87336386,0.402719736
331,none,0.160946293,0.001,446,208,2,271,1022,3,3,8,0.070279346,23.64263127,0.402471542
332,l1,0.812275368,0.0001,117,225,-1,392,126,3,3,10,0.025006391,28.94660984,0.107126951
333,elasticnet,0.730113493,0.0001,429,32,4,594,998,2,2,6,0.083108029,17.91948459,1.758459806
334,elasticnet,0.751374208,0.001,142,17,-1,173,110,8,3,7,0.093446552,57.11143268,0.109240294
335,l1,0.76252413,0.0001,751,984,2,397,936,3,5,8,0.014940994,46.13613644,3.207522869
336,l1,0.255320008,0.01,942,676,2,1325,1302,8,3,11,0.072365162,59.06337407,38.47280598
337,l2,0.868867749,0.01,357,728,4,158,1342,6,3,11,0.086973891,55.42254319,0.203179598
338,l2,0.268362319,0.001,938,875,1,293,397,4,4,11,0.00969305,28.58063694,0.569721699
339,none,0.885730131,0.0001,939,339,8,1010,818,9,2,11,0.077462032,88.01789116,2.008093119
340,elasticnet,0.290611652,0.0001,384,691,1,770,650,6,5,7,0.095862953,43.6384905,8.024935484
341,elasticnet,0.631983901,0.0001,249,733,-1,549,1297,7,4,8,0.063202506,11.99585957,1.410487652
342,l2,0.822497949,0.0001,115,269,1,568,808,6,4,8,0.013674742,79.28700157,0.400645494
343,none,0.121738277,0.0001,149,137,2,852,172,4,4,9,0.005317384,59.70862688,0.202147961
344,l1,0.87023869,0.01,130,318,1,1255,296,3,4,10,0.094446883,17.74413125,0.904775143
345,none,0.766306436,0.01,442,649,1,480,816,5,4,9,0.019681678,18.46323089,1.074191093
346,elasticnet,0.183814455,0.001,736,499,8,1343,313,10,5,9,0.09064271,69.20797022,5.612504005
347,l1,0.356638319,0.01,994,219,-1,1185,1016,6,4,9,0.013481369,52.49144978,7.623729944
348,l1,0.438023236,0.001,919,779,2,191,225,3,2,8,0.016894434,86.81045795,0.50312829
349,l1,0.456965326,0.0001,156,992,-1,650,1026,7,4,8,0.004895978,60.8015828,0.710521221
350,l1,0.112475242,0.01,947,356,2,868,544,10,2,10,0.065059271,99.4329263,14.72393608
351,elasticnet,0.301176837,0.001,422,210,4,658,1100,10,3,9,0.051568182,66.01300105,6.814491987
352,l1,0.482994983,0.001,473,741,2,335,685,4,5,9,0.021545681,60.38409762,1.404172659
353,l1,0.274418956,0.001,304,903,1,638,171,4,4,9,0.009661837,90.93098671,1.10080719
354,elasticnet,0.322158622,0.001,966,645,-1,356,848,5,3,7,0.026063837,78.79817313,2.311634064
355,none,0.103143565,0.001,755,902,-1,1320,1318,4,3,6,0.031493107,33.09503413,1.713663578
356,elasticnet,0.320434193,0.001,354,736,4,862,814,9,4,12,0.03617376,20.18511889,5.311689138
357,elasticnet,0.801803763,0.001,222,531,1,808,1309,4,5,10,0.090469138,27.31029965,6.488284349
358,elasticnet,0.495551136,0.0001,306,696,8,615,397,9,3,9,0.017299491,84.29905541,1.105173588
359,l1,0.892151208,0.001,637,142,-1,972,1203,2,3,8,0.044198219,74.5657625,4.20106864
360,l2,0.870685698,0.001,689,9,1,1178,345,2,5,7,0.063153769,31.18143793,0.506038904
361,l1,0.395686662,0.01,296,23,4,1161,1328,3,2,9,0.058619144,42.77164874,2.810519934
362,l2,0.18573814,0.001,829,311,2,624,435,2,3,6,0.087855925,52.49879554,0.292137861
363,none,0.840789331,0.001,296,751,1,1063,1129,8,5,11,0.05029472,79.3373414,3.606372356
364,none,0.232343919,0.0001,925,364,4,762,365,7,3,9,0.041488095,53.88052148,0.903944254
365,l2,0.878409046,0.01,419,538,8,454,852,7,4,10,0.035148611,4.199950628,0.303991556
366,l1,0.868018564,0.001,696,319,1,255,411,4,4,10,0.025839971,99.74843745,1.617977858
367,l2,0.640507077,0.0001,612,713,-1,330,284,9,2,9,0.075052956,62.63181645,0.208250999
368,none,0.234004179,0.0001,729,491,2,937,152,3,3,10,0.084404563,84.5329847,0.502442122
369,elasticnet,0.164719456,0.001,570,132,4,547,946,2,4,9,0.028852088,60.46247491,2.042329788
370,l2,0.717233382,0.0001,143,348,8,1397,207,5,4,10,0.037022539,91.98383481,0.20519495
371,l1,0.818497862,0.01,925,326,2,1074,537,4,5,9,0.043891219,63.82716619,7.413642168
372,elasticnet,0.804644351,0.01,625,304,2,642,510,5,2,9,0.074613488,92.40808958,4.509355545
373,elasticnet,0.42112414,0.0001,165,860,4,1249,1147,9,5,10,0.094028672,88.51921067,5.113521099
374,l1,0.705531462,0.001,696,341,2,638,414,8,2,8,0.043019917,73.34466194,4.909555435
375,l2,0.811409533,0.01,638,404,1,854,1136,7,3,11,0.016519153,68.82229801,5.338888168
376,l1,0.560600965,0.01,490,95,1,1226,1061,5,2,8,0.083225976,92.57630534,18.01468039
377,none,0.658072413,0.01,805,840,1,1271,449,5,4,7,0.00350325,59.38825129,3.894527197
378,elasticnet,0.430324653,0.0001,171,97,-1,660,130,4,3,9,0.080122224,4.887383655,0.210915565
379,l2,0.430765267,0.01,385,791,1,515,409,7,5,11,0.00912172,69.63722052,0.745907307
380,l1,0.537686897,0.0001,204,211,1,171,665,3,4,10,0.080305291,1.527627275,0.38492012
381,l1,0.326555364,0.001,997,399,1,878,1343,3,3,7,0.064168504,2.41475583,19.2956233
382,l2,0.390702467,0.001,538,719,2,148,781,9,2,7,0.016063999,34.89607056,0.402235031
383,l1,0.365149465,0.001,629,349,4,117,666,4,3,9,0.097529974,30.91335589,0.40267086
384,l2,0.808419962,0.001,317,719,2,1357,661,8,2,9,0.028231135,44.91701559,1.806305408
385,none,0.519566453,0.01,633,20,2,461,1022,2,4,9,0.019937454,6.576915964,0.366270542
386,none,0.382556424,0.01,701,493,2,1310,1363,6,3,8,0.096826198,33.87567326,5.315027475
387,l1,0.428173457,0.001,152,935,-1,854,158,7,5,10,0.033749639,29.52829448,0.309691429
388,l2,0.276567215,0.001,663,399,8,799,1061,9,2,9,0.091548111,59.87994131,1.507054567
389,l1,0.4534371,0.001,833,47,4,454,1063,4,2,9,0.037097374,92.77979665,2.50687027
390,l2,0.33192476,0.0001,441,206,4,136,761,8,2,8,0.072644353,19.89852085,0.202464342
391,l1,0.631305892,0.01,623,207,1,898,438,6,2,9,0.03405744,33.22328279,8.424505711
392,none,0.584271568,0.0001,460,412,8,125,147,7,3,10,0.060383872,21.73260639,0.103274584
393,elasticnet,0.266942973,0.01,419,589,1,689,669,3,3,7,0.007094612,50.40439901,3.711245537
394,elasticnet,0.7994462,0.01,857,324,2,842,483,2,3,8,0.062917231,23.10898068,2.339582682
395,none,0.147925189,0.0001,268,751,4,1122,1300,5,5,8,0.050965232,70.96673914,1.005507231
396,l1,0.245183649,0.0001,362,53,2,1096,1126,3,2,8,0.08538192,89.5425414,5.111740589
397,none,0.283562997,0.01,789,566,2,420,1345,7,5,10,0.08524183,64.50676131,2.206224918
398,l2,0.535966856,0.01,691,46,8,1210,679,8,2,8,0.026511326,31.22347973,1.006346226
399,l2,0.397531623,0.001,400,515,1,756,632,2,2,6,0.079974642,97.12458362,0.242921829
